"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"AK","District 1",NA,"President","Darrell Castle","Constitution",73,6638
"AK","District 1",NA,"President","Hillary Clinton","Democrat",2573,6638
"AK","District 1",NA,"President","Rocky Roque de la Fuente",NA,28,6638
"AK","District 1",NA,"President","Gary Johnson","Libertarian",416,6638
"AK","District 1",NA,"President","Jill Stein","Green",143,6638
"AK","District 1",NA,"President","Donald Trump","Republican",3180,6638
"AK","District 1",NA,"President","Write-in","",225,6638
"AK","District 10",NA,"President","Darrell Castle","Constitution",107,9040
"AK","District 10",NA,"President","Hillary Clinton","Democrat",1808,9040
"AK","District 10",NA,"President","Rocky Roque de la Fuente",NA,23,9040
"AK","District 10",NA,"President","Gary Johnson","Libertarian",493,9040
"AK","District 10",NA,"President","Jill Stein","Green",135,9040
"AK","District 10",NA,"President","Donald Trump","Republican",6255,9040
"AK","District 10",NA,"President","Write-in","",219,9040
"AK","District 11",NA,"President","Darrell Castle","Constitution",77,9689
"AK","District 11",NA,"President","Hillary Clinton","Democrat",2142,9689
"AK","District 11",NA,"President","Rocky Roque de la Fuente",NA,37,9689
"AK","District 11",NA,"President","Gary Johnson","Libertarian",572,9689
"AK","District 11",NA,"President","Jill Stein","Green",124,9689
"AK","District 11",NA,"President","Donald Trump","Republican",6444,9689
"AK","District 11",NA,"President","Write-in","",293,9689
"AK","District 12",NA,"President","Darrell Castle","Constitution",76,9543
"AK","District 12",NA,"President","Hillary Clinton","Democrat",1928,9543
"AK","District 12",NA,"President","Rocky Roque de la Fuente",NA,30,9543
"AK","District 12",NA,"President","Gary Johnson","Libertarian",548,9543
"AK","District 12",NA,"President","Jill Stein","Green",98,9543
"AK","District 12",NA,"President","Donald Trump","Republican",6629,9543
"AK","District 12",NA,"President","Write-in","",234,9543
"AK","District 13",NA,"President","Darrell Castle","Constitution",50,6533
"AK","District 13",NA,"President","Hillary Clinton","Democrat",1684,6533
"AK","District 13",NA,"President","Rocky Roque de la Fuente",NA,16,6533
"AK","District 13",NA,"President","Gary Johnson","Libertarian",480,6533
"AK","District 13",NA,"President","Jill Stein","Green",81,6533
"AK","District 13",NA,"President","Donald Trump","Republican",4028,6533
"AK","District 13",NA,"President","Write-in","",194,6533
"AK","District 14",NA,"President","Darrell Castle","Constitution",72,10420
"AK","District 14",NA,"President","Hillary Clinton","Democrat",3043,10420
"AK","District 14",NA,"President","Rocky Roque de la Fuente",NA,37,10420
"AK","District 14",NA,"President","Gary Johnson","Libertarian",802,10420
"AK","District 14",NA,"President","Jill Stein","Green",103,10420
"AK","District 14",NA,"President","Donald Trump","Republican",5978,10420
"AK","District 14",NA,"President","Write-in","",385,10420
"AK","District 15",NA,"President","Darrell Castle","Constitution",49,4982
"AK","District 15",NA,"President","Hillary Clinton","Democrat",1828,4982
"AK","District 15",NA,"President","Rocky Roque de la Fuente",NA,27,4982
"AK","District 15",NA,"President","Gary Johnson","Libertarian",335,4982
"AK","District 15",NA,"President","Jill Stein","Green",85,4982
"AK","District 15",NA,"President","Donald Trump","Republican",2525,4982
"AK","District 15",NA,"President","Write-in","",133,4982
"AK","District 16",NA,"President","Darrell Castle","Constitution",67,7436
"AK","District 16",NA,"President","Hillary Clinton","Democrat",3294,7436
"AK","District 16",NA,"President","Rocky Roque de la Fuente",NA,27,7436
"AK","District 16",NA,"President","Gary Johnson","Libertarian",464,7436
"AK","District 16",NA,"President","Jill Stein","Green",157,7436
"AK","District 16",NA,"President","Donald Trump","Republican",3203,7436
"AK","District 16",NA,"President","Write-in","",224,7436
"AK","District 17",NA,"President","Darrell Castle","Constitution",69,6788
"AK","District 17",NA,"President","Hillary Clinton","Democrat",3290,6788
"AK","District 17",NA,"President","Rocky Roque de la Fuente",NA,35,6788
"AK","District 17",NA,"President","Gary Johnson","Libertarian",419,6788
"AK","District 17",NA,"President","Jill Stein","Green",146,6788
"AK","District 17",NA,"President","Donald Trump","Republican",2618,6788
"AK","District 17",NA,"President","Write-in","",211,6788
"AK","District 18",NA,"President","Darrell Castle","Constitution",38,7402
"AK","District 18",NA,"President","Hillary Clinton","Democrat",3909,7402
"AK","District 18",NA,"President","Rocky Roque de la Fuente",NA,25,7402
"AK","District 18",NA,"President","Gary Johnson","Libertarian",424,7402
"AK","District 18",NA,"President","Jill Stein","Green",136,7402
"AK","District 18",NA,"President","Donald Trump","Republican",2684,7402
"AK","District 18",NA,"President","Write-in","",186,7402
"AK","District 19",NA,"President","Darrell Castle","Constitution",73,4792
"AK","District 19",NA,"President","Hillary Clinton","Democrat",2669,4792
"AK","District 19",NA,"President","Rocky Roque de la Fuente",NA,28,4792
"AK","District 19",NA,"President","Gary Johnson","Libertarian",190,4792
"AK","District 19",NA,"President","Jill Stein","Green",105,4792
"AK","District 19",NA,"President","Donald Trump","Republican",1636,4792
"AK","District 19",NA,"President","Write-in","",91,4792
"AK","District 2",NA,"President","Darrell Castle","Constitution",58,5492
"AK","District 2",NA,"President","Hillary Clinton","Democrat",1585,5492
"AK","District 2",NA,"President","Rocky Roque de la Fuente",NA,20,5492
"AK","District 2",NA,"President","Gary Johnson","Libertarian",371,5492
"AK","District 2",NA,"President","Jill Stein","Green",94,5492
"AK","District 2",NA,"President","Donald Trump","Republican",3188,5492
"AK","District 2",NA,"President","Write-in","",176,5492
"AK","District 20",NA,"President","Darrell Castle","Constitution",50,7140
"AK","District 20",NA,"President","Hillary Clinton","Democrat",4151,7140
"AK","District 20",NA,"President","Rocky Roque de la Fuente",NA,22,7140
"AK","District 20",NA,"President","Gary Johnson","Libertarian",395,7140
"AK","District 20",NA,"President","Jill Stein","Green",134,7140
"AK","District 20",NA,"President","Donald Trump","Republican",2187,7140
"AK","District 20",NA,"President","Write-in","",201,7140
"AK","District 21",NA,"President","Darrell Castle","Constitution",43,8647
"AK","District 21",NA,"President","Hillary Clinton","Democrat",4224,8647
"AK","District 21",NA,"President","Rocky Roque de la Fuente",NA,29,8647
"AK","District 21",NA,"President","Gary Johnson","Libertarian",526,8647
"AK","District 21",NA,"President","Jill Stein","Green",134,8647
"AK","District 21",NA,"President","Donald Trump","Republican",3479,8647
"AK","District 21",NA,"President","Write-in","",212,8647
"AK","District 22",NA,"President","Darrell Castle","Constitution",47,8372
"AK","District 22",NA,"President","Hillary Clinton","Democrat",3270,8372
"AK","District 22",NA,"President","Rocky Roque de la Fuente",NA,40,8372
"AK","District 22",NA,"President","Gary Johnson","Libertarian",446,8372
"AK","District 22",NA,"President","Jill Stein","Green",121,8372
"AK","District 22",NA,"President","Donald Trump","Republican",4203,8372
"AK","District 22",NA,"President","Write-in","",245,8372
"AK","District 23",NA,"President","Darrell Castle","Constitution",69,6924
"AK","District 23",NA,"President","Hillary Clinton","Democrat",2894,6924
"AK","District 23",NA,"President","Rocky Roque de la Fuente",NA,31,6924
"AK","District 23",NA,"President","Gary Johnson","Libertarian",424,6924
"AK","District 23",NA,"President","Jill Stein","Green",108,6924
"AK","District 23",NA,"President","Donald Trump","Republican",3246,6924
"AK","District 23",NA,"President","Write-in","",152,6924
"AK","District 24",NA,"President","Darrell Castle","Constitution",58,9290
"AK","District 24",NA,"President","Hillary Clinton","Democrat",3578,9290
"AK","District 24",NA,"President","Rocky Roque de la Fuente",NA,20,9290
"AK","District 24",NA,"President","Gary Johnson","Libertarian",574,9290
