year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2020,Georgia,GA,Appling,no_data,President,Donald J. Trump,republican,6526,,
2020,Georgia,GA,Atkinson,no_data,President,Donald J. Trump,republican,2300,,
2020,Georgia,GA,Bacon,no_data,President,Donald J. Trump,republican,4018,,
2020,Georgia,GA,Baker,no_data,President,Donald J. Trump,republican,894,,
2020,Georgia,GA,Baldwin,no_data,President,Donald J. Trump,republican,8893,,
2020,Georgia,GA,Banks,no_data,President,Donald J. Trump,republican,7774,,
2020,Georgia,GA,Barrow,no_data,President,Donald J. Trump,republican,26794,,
2020,Georgia,GA,Bartow,no_data,President,Donald J. Trump,republican,37623,,
2020,Georgia,GA,Ben Hill,no_data,President,Donald J. Trump,republican,4109,,
2020,Georgia,GA,Berrien,no_data,President,Donald J. Trump,republican,6409,,
2020,Georgia,GA,Bibb,no_data,President,Donald J. Trump,republican,26506,,
2020,Georgia,GA,Bleckley,no_data,President,Donald J. Trump,republican,4326,,
2020,Georgia,GA,Brantley,no_data,President,Donald J. Trump,republican,6980,,
2020,Georgia,GA,Brooks,no_data,President,Donald J. Trump,republican,4248,,
2020,Georgia,GA,Bryan,no_data,President,Donald J. Trump,republican,14242,,
2020,Georgia,GA,Bulloch,no_data,President,Donald J. Trump,republican,18358,,
2020,Georgia,GA,Burke,no_data,President,Donald J. Trump,republican,5399,,
2020,Georgia,GA,Butts,no_data,President,Donald J. Trump,republican,8403,,
2020,Georgia,GA,Calhoun,no_data,President,Donald J. Trump,republican,923,,
2020,Georgia,GA,Camden,no_data,President,Donald J. Trump,republican,15242,,
2020,Georgia,GA,Candler,no_data,President,Donald J. Trump,republican,3129,,
2020,Georgia,GA,Carroll,no_data,President,Donald J. Trump,republican,37444,,
2020,Georgia,GA,Catoosa,no_data,President,Donald J. Trump,republican,25142,,
2020,Georgia,GA,Charlton,no_data,President,Donald J. Trump,republican,3419,,
2020,Georgia,GA,Chatham,no_data,President,Donald J. Trump,republican,53173,,
2020,Georgia,GA,Chattahoochee,no_data,President,Donald J. Trump,republican,879,,
2020,Georgia,GA,Chattooga,no_data,President,Donald J. Trump,republican,8058,,
2020,Georgia,GA,Cherokee,no_data,President,Donald J. Trump,republican,99474,,
2020,Georgia,GA,Clarke,no_data,President,Donald J. Trump,republican,14385,,
2020,Georgia,GA,Clay,no_data,President,Donald J. Trump,republican,637,,
2020,Georgia,GA,Clayton,no_data,President,Donald J. Trump,republican,15625,,
2020,Georgia,GA,Clinch,no_data,President,Donald J. Trump,republican,2104,,
2020,Georgia,GA,Cobb,no_data,President,Donald J. Trump,republican,164965,,
2020,Georgia,GA,Coffee,no_data,President,Donald J. Trump,republican,10532,,
2020,Georgia,GA,Colquitt,no_data,President,Donald J. Trump,republican,11766,,
2020,Georgia,GA,Columbia,no_data,President,Donald J. Trump,republican,49952,,
2020,Georgia,GA,Cook,no_data,President,Donald J. Trump,republican,4900,,
2020,Georgia,GA,Coweta,no_data,President,Donald J. Trump,republican,51405,,
2020,Georgia,GA,Crawford,no_data,President,Donald J. Trump,republican,4421,,
2020,Georgia,GA,Crisp,no_data,President,Donald J. Trump,republican,4982,,
2020,Georgia,GA,Dade,no_data,President,Donald J. Trump,republican,6058,,
2020,Georgia,GA,Dawson,no_data,President,Donald J. Trump,republican,13393,,
2020,Georgia,GA,Decatur,no_data,President,Donald J. Trump,republican,6752,,
2020,Georgia,GA,DeKalb,no_data,President,Donald J. Trump,republican,57993,,
2020,Georgia,GA,Dodge,no_data,President,Donald J. Trump,republican,5839,,
2020,Georgia,GA,Dooly,no_data,President,Donald J. Trump,republican,2155,,
2020,Georgia,GA,Dougherty,no_data,President,Donald J. Trump,republican,10419,,
2020,Georgia,GA,Douglas,no_data,President,Donald J. Trump,republican,25301,,
2020,Georgia,GA,Early,no_data,President,Donald J. Trump,republican,2719,,
2020,Georgia,GA,Echols,no_data,President,Donald J. Trump,republican,1256,,
2020,Georgia,GA,Effingham,no_data,President,Donald J. Trump,republican,23340,,
2020,Georgia,GA,Elbert,no_data,President,Donald J. Trump,republican,6212,,
2020,Georgia,GA,Emanuel,no_data,President,Donald J. Trump,republican,6551,,
2020,Georgia,GA,Evans,no_data,President,Donald J. Trump,republican,2888,,
2020,Georgia,GA,Fannin,no_data,President,Donald J. Trump,republican,12144,,
2020,Georgia,GA,Fayette,no_data,President,Donald J. Trump,republican,36312,,
2020,Georgia,GA,Floyd,no_data,President,Donald J. Trump,republican,26843,,
2020,Georgia,GA,Forsyth,no_data,President,Donald J. Trump,republican,85081,,
2020,Georgia,GA,Franklin,no_data,President,Donald J. Trump,republican,9066,,
2020,Georgia,GA,Fulton,no_data,President,Donald J. Trump,republican,135043,,
2020,Georgia,GA,Gilmer,no_data,President,Donald J. Trump,republican,13382,,
2020,Georgia,GA,Glascock,no_data,President,Donald J. Trump,republican,1403,,
2020,Georgia,GA,Glynn,no_data,President,Donald J. Trump,republican,25581,,
2020,Georgia,GA,Gordon,no_data,President,Donald J. Trump,republican,19385,,
2020,Georgia,GA,Grady,no_data,President,Donald J. Trump,republican,7027,,
2020,Georgia,GA,Greene,no_data,President,Donald J. Trump,republican,7068,,
2020,Georgia,GA,Gwinnett,no_data,President,Donald J. Trump,republican,163937,,
2020,Georgia,GA,Habersham,no_data,President,Donald J. Trump,republican,16616,,
2020,Georgia,GA,Hall,no_data,President,Donald J. Trump,republican,64105,,
2020,Georgia,GA,Hancock,no_data,President,Donald J. Trump,republican,1159,,
2020,Georgia,GA,Haralson,no_data,President,Donald J. Trump,republican,12326,,
2020,Georgia,GA,Harris,no_data,President,Donald J. Trump,republican,14305,,
2020,Georgia,GA,Hart,no_data,President,Donald J. Trump,republican,9460,,
2020,Georgia,GA,Heard,no_data,President,Donald J. Trump,republican,4515,,
2020,Georgia,GA,Henry,no_data,President,Donald J. Trump,republican,48136,,
2020,Georgia,GA,Houston,no_data,President,Donald J. Trump,republican,41468,,
2020,Georgia,GA,Irwin,no_data,President,Donald J. Trump,republican,3128,,
2020,Georgia,GA,Jackson,no_data,President,Donald J. Trump,republican,29491,,
