,district,candidate,votes
0,01-01,JOSEPH R BIDEN AND KAMALA D HARRIS,295
1,01-01,DONALD J TRUMP AND MICHAEL R PENCE,70
2,01-01,JO JORGENSEN AND JEREMY SPIKE COHEN,3
3,01-01,Write-in,2
4,01-02,JOSEPH R BIDEN AND KAMALA D HARRIS,424
5,01-02,DONALD J TRUMP AND MICHAEL R PENCE,95
6,01-02,Write-in,4
7,01-02,JO JORGENSEN AND JEREMY SPIKE COHEN,3
8,01-03,JOSEPH R BIDEN AND KAMALA D HARRIS,405
9,01-03,DONALD J TRUMP AND MICHAEL R PENCE,143
10,01-03,JO JORGENSEN AND JEREMY SPIKE COHEN,4
11,01-03,Write-in,2
12,01-04,JOSEPH R BIDEN AND KAMALA D HARRIS,352
13,01-04,DONALD J TRUMP AND MICHAEL R PENCE,139
14,01-04,JO JORGENSEN AND JEREMY SPIKE COHEN,3
15,01-04,Write-in,1
16,01-05,JOSEPH R BIDEN AND KAMALA D HARRIS,196
17,01-05,DONALD J TRUMP AND MICHAEL R PENCE,44
18,01-05,JO JORGENSEN AND JEREMY SPIKE COHEN,1
19,01-05,Write-in,1
20,01-06,JOSEPH R BIDEN AND KAMALA D HARRIS,307
21,01-06,DONALD J TRUMP AND MICHAEL R PENCE,50
22,01-06,JO JORGENSEN AND JEREMY SPIKE COHEN,2
23,01-06,Write-in,1
24,01-07,JOSEPH R BIDEN AND KAMALA D HARRIS,265
25,01-07,DONALD J TRUMP AND MICHAEL R PENCE,44
26,01-07,Write-in,2
27,01-07,JO JORGENSEN AND JEREMY SPIKE COHEN,0
28,01-08,JOSEPH R BIDEN AND KAMALA D HARRIS,334
29,01-08,DONALD J TRUMP AND MICHAEL R PENCE,74
30,01-08,JO JORGENSEN AND JEREMY SPIKE COHEN,3
31,01-08,Write-in,2
32,01-09,JOSEPH R BIDEN AND KAMALA D HARRIS,317
33,01-09,DONALD J TRUMP AND MICHAEL R PENCE,99
34,01-09,JO JORGENSEN AND JEREMY SPIKE COHEN,2
35,01-09,Write-in,0
36,01-10,JOSEPH R BIDEN AND KAMALA D HARRIS,407
37,01-10,DONALD J TRUMP AND MICHAEL R PENCE,75
38,01-10,Write-in,3
39,01-10,JO JORGENSEN AND JEREMY SPIKE COHEN,2
40,01-11,JOSEPH R BIDEN AND KAMALA D HARRIS,475
41,01-11,DONALD J TRUMP AND MICHAEL R PENCE,86
42,01-11,JO JORGENSEN AND JEREMY SPIKE COHEN,8
43,01-11,Write-in,1
44,01-12,JOSEPH R BIDEN AND KAMALA D HARRIS,302
45,01-12,DONALD J TRUMP AND MICHAEL R PENCE,71
46,01-12,JO JORGENSEN AND JEREMY SPIKE COHEN,4
47,01-12,Write-in,3
48,01-13,JOSEPH R BIDEN AND KAMALA D HARRIS,456
49,01-13,DONALD J TRUMP AND MICHAEL R PENCE,70
50,01-13,JO JORGENSEN AND JEREMY SPIKE COHEN,6
51,01-13,Write-in,2
52,01-14,JOSEPH R BIDEN AND KAMALA D HARRIS,372
53,01-14,DONALD J TRUMP AND MICHAEL R PENCE,49
54,01-14,JO JORGENSEN AND JEREMY SPIKE COHEN,4
55,01-14,Write-in,0
56,01-15,JOSEPH R BIDEN AND KAMALA D HARRIS,504
57,01-15,DONALD J TRUMP AND MICHAEL R PENCE,114
58,01-15,JO JORGENSEN AND JEREMY SPIKE COHEN,6
59,01-15,Write-in,2
60,01-16,JOSEPH R BIDEN AND KAMALA D HARRIS,314
61,01-16,DONALD J TRUMP AND MICHAEL R PENCE,59
62,01-16,JO JORGENSEN AND JEREMY SPIKE COHEN,2
63,01-16,Write-in,1
64,01-17,JOSEPH R BIDEN AND KAMALA D HARRIS,219
65,01-17,DONALD J TRUMP AND MICHAEL R PENCE,21
66,01-17,JO JORGENSEN AND JEREMY SPIKE COHEN,2
67,01-17,Write-in,0
68,01-18,JOSEPH R BIDEN AND KAMALA D HARRIS,309
69,01-18,DONALD J TRUMP AND MICHAEL R PENCE,193
70,01-18,JO JORGENSEN AND JEREMY SPIKE COHEN,4
71,01-18,Write-in,1
72,01-19,JOSEPH R BIDEN AND KAMALA D HARRIS,321
73,01-19,DONALD J TRUMP AND MICHAEL R PENCE,171
74,01-19,JO JORGENSEN AND JEREMY SPIKE COHEN,9
75,01-19,Write-in,3
76,01-20,JOSEPH R BIDEN AND KAMALA D HARRIS,442
77,01-20,DONALD J TRUMP AND MICHAEL R PENCE,108
78,01-20,JO JORGENSEN AND JEREMY SPIKE COHEN,2
79,01-20,Write-in,1
0,01-21,JOSEPH R BIDEN AND KAMALA D HARRIS,359
1,01-21,DONALD J TRUMP AND MICHAEL R PENCE,187
2,01-21,JO JORGENSEN AND JEREMY SPIKE COHEN,5
3,01-21,Write-in,0
4,02-01,JOSEPH R BIDEN AND KAMALA D HARRIS,489
5,02-01,DONALD J TRUMP AND MICHAEL R PENCE,120
6,02-01,JO JORGENSEN AND JEREMY SPIKE COHEN,3
7,02-01,Write-in,0
8,02-02,JOSEPH R BIDEN AND KAMALA D HARRIS,302
9,02-02,DONALD J TRUMP AND MICHAEL R PENCE,79
10,02-02,Write-in,2
11,02-02,JO JORGENSEN AND JEREMY SPIKE COHEN,0
12,02-03,JOSEPH R BIDEN AND KAMALA D HARRIS,316
13,02-03,DONALD J TRUMP AND MICHAEL R PENCE,82
14,02-03,JO JORGENSEN AND JEREMY SPIKE COHEN,3
15,02-03,Write-in,3
16,02-04,JOSEPH R BIDEN AND KAMALA D HARRIS,416
17,02-04,DONALD J TRUMP AND MICHAEL R PENCE,78
18,02-04,JO JORGENSEN AND JEREMY SPIKE COHEN,3
19,02-04,Write-in,1
20,02-05,JOSEPH R BIDEN AND KAMALA D HARRIS,390
21,02-05,DONALD J TRUMP AND MICHAEL R PENCE,89
22,02-05,Write-in,3
23,02-05,JO JORGENSEN AND JEREMY SPIKE COHEN,2
24,02-06,JOSEPH R BIDEN AND KAMALA D HARRIS,422
25,02-06,DONALD J TRUMP AND MICHAEL R PENCE,89
26,02-06,JO JORGENSEN AND JEREMY SPIKE COHEN,5
27,02-06,Write-in,4
28,02-07,JOSEPH R BIDEN AND KAMALA D HARRIS,558
29,02-07,DONALD J TRUMP AND MICHAEL R PENCE,107
30,02-07,JO JORGENSEN AND JEREMY SPIKE COHEN,7
31,02-07,Write-in,4
32,02-08,JOSEPH R BIDEN AND KAMALA D HARRIS,357
33,02-08,DONALD J TRUMP AND MICHAEL R PENCE,80
34,02-08,JO JORGENSEN AND JEREMY SPIKE COHEN,3
35,02-08,Write-in,3
36,02-09,JOSEPH R BIDEN AND KAMALA D HARRIS,478
37,02-09,DONALD J TRUMP AND MICHAEL R PENCE,36
38,02-09,JO JORGENSEN AND JEREMY SPIKE COHEN,3
39,02-09,Write-in,2
40,02-10,JOSEPH R BIDEN AND KAMALA D HARRIS,433
41,02-10,DONALD J TRUMP AND MICHAEL R PENCE,83
42,02-10,JO JORGENSEN AND JEREMY SPIKE COHEN,4
43,02-10,Write-in,1
44,02-11,JOSEPH R BIDEN AND KAMALA D HARRIS,460
45,02-11,DONALD J TRUMP AND MICHAEL R PENCE,94
46,02-11,JO JORGENSEN AND JEREMY SPIKE COHEN,4
47,02-11,Write-in,1
48,02-12,JOSEPH R BIDEN AND KAMALA D HARRIS,513
49,02-12,DONALD J TRUMP AND MICHAEL R PENCE,65
50,02-12,JO JORGENSEN AND JEREMY SPIKE COHEN,6
51,02-12,Write-in,2
52,02-13,JOSEPH R BIDEN AND KAMALA D HARRIS,200
53,02-13,DONALD J TRUMP AND MICHAEL R PENCE,13
54,02-13,JO JORGENSEN AND JEREMY SPIKE COHEN,3
55,02-13,Write-in,3
56,02-14,JOSEPH R BIDEN AND KAMALA D HARRIS,460
57,02-14,DONALD J TRUMP AND MICHAEL R PENCE,62
58,02-14,JO JORGENSEN AND JEREMY SPIKE COHEN,4
59,02-14,Write-in,3
60,02-15,JOSEPH R BIDEN AND KAMALA D HARRIS,479
61,02-15,DONALD J TRUMP AND MICHAEL R PENCE,48
62,02-15,JO JORGENSEN AND JEREMY SPIKE COHEN,5
63,02-15,Write-in,1
64,02-16,JOSEPH R BIDEN AND KAMALA D HARRIS,523
65,02-16,DONALD J TRUMP AND MICHAEL R PENCE,34
66,02-16,Write-in,3
67,02-16,JO JORGENSEN AND JEREMY SPIKE COHEN,1
68,02-17,JOSEPH R BIDEN AND KAMALA D HARRIS,482
69,02-17,DONALD J TRUMP AND MICHAEL R PENCE,57
70,02-17,JO JORGENSEN AND JEREMY SPIKE COHEN,3
71,02-17,Write-in,2
72,02-18,JOSEPH R BIDEN AND KAMALA D HARRIS,382
73,02-18,DONALD J TRUMP AND MICHAEL R PENCE,70
74,02-18,Write-in,3
75,02-18,JO JORGENSEN AND JEREMY SPIKE COHEN,1
76,02-19,JOSEPH R BIDEN AND KAMALA D HARRIS,434
77,02-19,DONALD J TRUMP AND MICHAEL R PENCE,56
78,02-19,JO JORGENSEN AND JEREMY SPIKE COHEN,1
79,02-19,Write-in,1
0,02-20,JOSEPH R BIDEN AND KAMALA D HARRIS,340
1,02-20,DONALD J TRUMP AND MICHAEL R PENCE,32
2,02-20,Write-in,5
3,02-20,JO JORGENSEN AND JEREMY SPIKE COHEN,3
4,02-21,JOSEPH R BIDEN AND KAMALA D HARRIS,396
5,02-21,DONALD J TRUMP AND MICHAEL R PENCE,34
6,02-21,JO JORGENSEN AND JEREMY SPIKE COHEN,3
7,02-21,Write-in,1
8,02-22,JOSEPH R BIDEN AND KAMALA D HARRIS,648
9,02-22,DONALD J TRUMP AND MICHAEL R PENCE,36
10,02-22,Write-in,2
11,02-22,JO JORGENSEN AND JEREMY SPIKE COHEN,1
12,02-23,JOSEPH R BIDEN AND KAMALA D HARRIS,546
13,02-23,DONALD J TRUMP AND MICHAEL R PENCE,61
14,02-23,JO JORGENSEN AND JEREMY SPIKE COHEN,6
15,02-23,Write-in,2
16,02-24,JOSEPH R BIDEN AND KAMALA D HARRIS,509
17,02-24,DONALD J TRUMP AND MICHAEL R PENCE,67
18,02-24,JO JORGENSEN AND JEREMY SPIKE COHEN,3
19,02-24,Write-in,0
20,02-25,JOSEPH R BIDEN AND KAMALA D HARRIS,416
21,02-25,DONALD J TRUMP AND MICHAEL R PENCE,37
22,02-25,JO JORGENSEN AND JEREMY SPIKE COHEN,6
23,02-25,Write-in,2
24,02-26,JOSEPH R BIDEN AND KAMALA D HARRIS,462
25,02-26,DONALD J TRUMP AND MICHAEL R PENCE,39
26,02-26,JO JORGENSEN AND JEREMY SPIKE COHEN,5
27,02-26,Write-in,0
28,02-27,JOSEPH R BIDEN AND KAMALA D HARRIS,530
29,02-27,DONALD J TRUMP AND MICHAEL R PENCE,96
30,02-27,JO JORGENSEN AND JEREMY SPIKE COHEN,4
31,02-27,Write-in,1
32,02-28,JOSEPH R BIDEN AND KAMALA D HARRIS,401
33,02-28,DONALD J TRUMP AND MICHAEL R PENCE,116
34,02-28,JO JORGENSEN AND JEREMY SPIKE COHEN,3
35,02-28,Write-in,0
36,02-29,JOSEPH R BIDEN AND KAMALA D HARRIS,569
37,02-29,DONALD J TRUMP AND MICHAEL R PENCE,68
38,02-29,Write-in,2
39,02-29,JO JORGENSEN AND JEREMY SPIKE COHEN,1
40,03-01,JOSEPH R BIDEN AND KAMALA D HARRIS,374
41,03-01,DONALD J TRUMP AND MICHAEL R PENCE,7
42,03-01,JO JORGENSEN AND JEREMY SPIKE COHEN,2
43,03-01,Write-in,1
44,03-02,JOSEPH R BIDEN AND KAMALA D HARRIS,414
45,03-02,DONALD J TRUMP AND MICHAEL R PENCE,11
46,03-02,JO JORGENSEN AND JEREMY SPIKE COHEN,2
47,03-02,Write-in,0
48,03-03,JOSEPH R BIDEN AND KAMALA D HARRIS,423
49,03-03,DONALD J TRUMP AND MICHAEL R PENCE,9
50,03-03,JO JORGENSEN AND JEREMY SPIKE COHEN,0
51,03-03,Write-in,0
52,03-04,JOSEPH R BIDEN AND KAMALA D HARRIS,422
53,03-04,DONALD J TRUMP AND MICHAEL R PENCE,8
54,03-04,JO JORGENSEN AND JEREMY SPIKE COHEN,2
55,03-04,Write-in,0
56,03-05,JOSEPH R BIDEN AND KAMALA D HARRIS,215
57,03-05,DONALD J TRUMP AND MICHAEL R PENCE,7
58,03-05,JO JORGENSEN AND JEREMY SPIKE COHEN,1
59,03-05,Write-in,0
60,03-06,JOSEPH R BIDEN AND KAMALA D HARRIS,382
61,03-06,DONALD J TRUMP AND MICHAEL R PENCE,6
62,03-06,Write-in,2
63,03-06,JO JORGENSEN AND JEREMY SPIKE COHEN,1
64,03-07,JOSEPH R BIDEN AND KAMALA D HARRIS,339
65,03-07,DONALD J TRUMP AND MICHAEL R PENCE,6
66,03-07,JO JORGENSEN AND JEREMY SPIKE COHEN,2
67,03-07,Write-in,0
68,03-08,JOSEPH R BIDEN AND KAMALA D HARRIS,383
69,03-08,DONALD J TRUMP AND MICHAEL R PENCE,11
70,03-08,Write-in,3
71,03-08,JO JORGENSEN AND JEREMY SPIKE COHEN,1
72,03-09,JOSEPH R BIDEN AND KAMALA D HARRIS,305
73,03-09,DONALD J TRUMP AND MICHAEL R PENCE,4
74,03-09,JO JORGENSEN AND JEREMY SPIKE COHEN,2
75,03-09,Write-in,1
76,03-10,JOSEPH R BIDEN AND KAMALA D HARRIS,366
77,03-10,DONALD J TRUMP AND MICHAEL R PENCE,8
78,03-10,JO JORGENSEN AND JEREMY SPIKE COHEN,0
79,03-10,Write-in,0
0,03-11,JOSEPH R BIDEN AND KAMALA D HARRIS,438
1,03-11,DONALD J TRUMP AND MICHAEL R PENCE,10
2,03-11,JO JORGENSEN AND JEREMY SPIKE COHEN,2
3,03-11,Write-in,1
4,03-12,JOSEPH R BIDEN AND KAMALA D HARRIS,397
5,03-12,DONALD J TRUMP AND MICHAEL R PENCE,5
6,03-12,JO JORGENSEN AND JEREMY SPIKE COHEN,0
7,03-12,Write-in,0
